Brand,Model,Year,Price,EngineSize,Gear,Mileage,FuelType,Doors,Description
Audi,Q2 30 TDI Sport 5dr,2019,"Â£14,990",1.6 L,Manual,"21,342",Diesel,5,Audi Q2 30 TDI Sport 5dr 2019 1.6 L Diesel Manual 5
Audi,A5 1.4 TFSI S Line 2dr S Tronic,2018,"Â£15,495",1.4 L,Semiauto,"39,283",Petrol,2,Audi A5 1.4 TFSI S Line 2dr S Tronic 2018 1.4 L Petrol Semiauto 2
Audi,A3 1.5 TFSI Black Edition 5dr S Tronic,2018,"Â£17,295",1.5 L,Semiauto,"43,926",Petrol,5,Audi A3 1.5 TFSI Black Edition 5dr S Tronic 2018 1.5 L Petrol Semiauto 5
Audi,Q2 30 TFSI Black Edition 5dr,2020,"Â£18,990",1.0 L,Manual,"26,345",Petrol,5,Audi Q2 30 TFSI Black Edition 5dr 2020 1.0 L Petrol Manual 5
Audi,A5 Sportback 2.0 TFSI Quattro S Line 5dr S Tronic,2018,"Â£19,990",2.0 L,Semiauto,"47,979",Petrol,5,Audi A5 Sportback 2.0 TFSI Quattro S Line 5dr S Tronic 2018 2.0 L Petrol Semiauto 5
Audi,A1 30 TFSI 110 Technik 5dr S Tronic,2023,"Â£20,550",1.0 L,Semiauto,"10,000",Petrol,5,Audi A1 30 TFSI 110 Technik 5dr S Tronic 2023 1.0 L Petrol Semiauto 5
Audi,A1 25 TFSI Sport 5dr,2024,"Â£20,745",1.0 L,Manual,"14,201",Petrol,5,Audi A1 25 TFSI Sport 5dr 2024 1.0 L Petrol Manual 5
Audi,A3 30 TFSI S Line 5dr,2023,"Â£20,745",1.0 L,Manual,"22,070",Petrol,5,Audi A3 30 TFSI S Line 5dr 2023 1.0 L Petrol Manual 5
Audi,A3 30 TFSI S Line 5dr,2023,"Â£20,990",1.0 L,Manual,"23,951",Petrol,5,Audi A3 30 TFSI S Line 5dr 2023 1.0 L Petrol Manual 5
Audi,Q2 30 TFSI Sport 5dr,2023,"Â£22,295",1.0 L,Manual,"6,048",Petrol,5,Audi Q2 30 TFSI Sport 5dr 2023 1.0 L Petrol Manual 5
Audi,S3 S3 TFSI Quattro 5dr S Tronic,2018,"Â£22,395",2.0 L,Semiauto,"35,128",Petrol,5,Audi S3 S3 TFSI Quattro 5dr S Tronic 2018 2.0 L Petrol Semiauto 5
Audi,Q2 30 TFSI Sport 5dr,2023,"Â£22,395",1.0 L,Manual,"6,315",Petrol,5,Audi Q2 30 TFSI Sport 5dr 2023 1.0 L Petrol Manual 5
Audi,A1 30 TFSI 110 S Line 5dr S Tronic,2024,"Â£23,495",1.0 L,Semiauto,"17,071",Petrol,5,Audi A1 30 TFSI 110 S Line 5dr S Tronic 2024 1.0 L Petrol Semiauto 5
Audi,A3 30 TFSI S Line 5dr S Tronic,2023,"Â£23,946",1.0 L,Semiauto,"23,097",Petrol,5,Audi A3 30 TFSI S Line 5dr S Tronic 2023 1.0 L Petrol Semiauto 5
Audi,Q2 35 TFSI S Line 5dr S Tronic,2022,"Â£23,990",1.5 L,Semiauto,"27,292",Petrol,5,Audi Q2 35 TFSI S Line 5dr S Tronic 2022 1.5 L Petrol Semiauto 5
Audi,A6 40 TDI Quattro Black Edition 4dr S Tronic,2021,"Â£24,445",2.0 L,Semiauto,"54,011",Diesel,4,Audi A6 40 TDI Quattro Black Edition 4dr S Tronic 2021 2.0 L Diesel Semiauto 4
Audi,A1 25 TFSI S Line 5dr S Tronic,2024,"Â£24,740",1.0 L,Semiauto,"4,958",Petrol,5,Audi A1 25 TFSI S Line 5dr S Tronic 2024 1.0 L Petrol Semiauto 5
Audi,A3 Saloon 35 TFSI Edition 1 4dr S Tronic,2021,"Â£24,890",1.5 L,Semiauto,"37,571",Petrol,4,Audi A3 Saloon 35 TFSI Edition 1 4dr S Tronic 2021 1.5 L Petrol Semiauto 4
Audi,Q4 e-tron Sportback 125kW 35 55kWh Sport 5dr Auto,2022,"Â£26,450",Unknown,Automatic,"2,965",Electric,5,Audi Q4 e-tron Sportback 125kW 35 55kWh Sport 5dr Auto 2022 Unknown Electric Automatic 5
Audi,Q3 35 TFSI Black Edition 5dr S Tronic,2021,"Â£26,795",1.5 L,Semiauto,"34,673",Petrol,5,Audi Q3 35 TFSI Black Edition 5dr S Tronic 2021 1.5 L Petrol Semiauto 5
Audi,Q2 30 TDI Sport 5dr,2019,"Â£14,990",1.6 L,Manual,"21,342",Diesel,5,Audi Q2 30 TDI Sport 5dr 2019 1.6 L Diesel Manual 5
Audi,A5 1.4 TFSI S Line 2dr S Tronic,2018,"Â£15,495",1.4 L,Semiauto,"39,283",Petrol,2,Audi A5 1.4 TFSI S Line 2dr S Tronic 2018 1.4 L Petrol Semiauto 2
Audi,A3 1.5 TFSI Black Edition 5dr S Tronic,2018,"Â£17,295",1.5 L,Semiauto,"43,926",Petrol,5,Audi A3 1.5 TFSI Black Edition 5dr S Tronic 2018 1.5 L Petrol Semiauto 5
Audi,Q2 30 TFSI Black Edition 5dr,2020,"Â£18,990",1.0 L,Manual,"26,345",Petrol,5,Audi Q2 30 TFSI Black Edition 5dr 2020 1.0 L Petrol Manual 5
Audi,A5 Sportback 2.0 TFSI Quattro S Line 5dr S Tronic,2018,"Â£19,990",2.0 L,Semiauto,"47,979",Petrol,5,Audi A5 Sportback 2.0 TFSI Quattro S Line 5dr S Tronic 2018 2.0 L Petrol Semiauto 5
Audi,A1 30 TFSI 110 Technik 5dr S Tronic,2023,"Â£20,550",1.0 L,Semiauto,"10,000",Petrol,5,Audi A1 30 TFSI 110 Technik 5dr S Tronic 2023 1.0 L Petrol Semiauto 5
Audi,A1 25 TFSI Sport 5dr,2024,"Â£20,745",1.0 L,Manual,"14,201",Petrol,5,Audi A1 25 TFSI Sport 5dr 2024 1.0 L Petrol Manual 5
Audi,A3 30 TFSI S Line 5dr,2023,"Â£20,745",1.0 L,Manual,"22,070",Petrol,5,Audi A3 30 TFSI S Line 5dr 2023 1.0 L Petrol Manual 5
