"Brand","Model","Year","Price","EngineSize","Gear","Mileage","FuelType","Doors","Description"
"Volkswagen","Tiguan 1.5 TSI 150 R-Line 5dr DSG","2021","£24,597",1.5,"Automatic","27,859 miles","Petrol","5 Door","2021 Volkswagen Tiguan SUV"
"BMW","4 Series 420d xDrive MHT M Sport 2dr Step Auto","2022","£25,968",2,"Automatic","52,130 miles","-","2 Door","2022 BMW 4 Series Coupe"
"Audi","A1 25 TFSI Sport 5dr","2021","£18,128",1,"Manual","8,386 miles","Petrol","5 Door","2021 Audi A1 Hatchback"
"Volkswagen","T-Cross 1.0 TSI 110 SE Edition 5dr DSG","2023","£18,460",1,"Automatic","27,234 miles","Petrol","5 Door","2023 Volkswagen T-Cross SUV"
"Audi","Q3 35 TDI S Line 5dr S Tronic","2024","£37,991",2,"Automatic","3,000 miles","Diesel","5 Door","2024 Audi Q3 SUV"
"Peugeot","208 1.5 BlueHDi 100 Allure Premium 5dr","2022","£12,152",1.5,"Manual","50,057 miles","Diesel","5 Door","2022 Peugeot 208 Hatchback"
"Suzuki","Swift Sport 1.4 Boosterjet 48V Hybrid Sport 5dr","2022","£15,597",1.4,"Manual","11,101 miles","-","5 Door","2022 Suzuki Swift Sport Hatchback"
"Vauxhall","INSIGNIA 1.6 ELITE NAV CDTI ECOFLEX S/S 5d 134 BHP","2017","£6,495",1.6,"Manual","95,862 miles","Diesel","5 Door","2017 Vauxhall INSIGNIA Hatchback"
"BMW","4 Series 420i M Sport 2dr Step Auto","2022","£27,549",2,"Automatic","8,314 miles","Petrol","2 Door","2022 BMW 4 Series Coupe"
"Skoda","Fabia 1.0 TSI 110 Monte Carlo 5dr","2019","£11,490",1,"Manual","35,895 miles","Petrol","5 Door","2019 Skoda Fabia Hatchback"
"Kia","Sportage 1.6T GDi ISG 2 5dr","2022","£19,995",1.6,"Manual","22,000 miles","Petrol","5 Door","2022 Kia Sportage SUV"
"Audi","A1 30 TFSI S Line 5dr","2019","£15,295",1,"Manual","46,355 miles","Petrol","5 Door","2019 Audi A1 Hatchback"
"Audi","A3 35 TFSI S Line 5dr S Tronic","2023","£27,000",1.5,"Automatic","14,100 miles","Petrol","5 Door","2023 Audi A3 Hatchback"
"Audi","Q2 35 TFSI S Line 5dr S Tronic","2021","£24,150",1.5,"Automatic","10,316 miles","Petrol","5 Door","2021 Audi Q2 SUV"
"Skoda","Kodiaq 2.0 TSI 190 SE L 4x4 5dr DSG [7 Seat]","2021","£26,790",2,"Automatic","27,995 miles","Petrol","5 Door","2021 Skoda Kodiaq SUV"
"Land","Rover Range Rover Evoque 1.5 P300e R-Dynamic S 5dr Auto","2020","£22,913",1.5,"Automatic","19,267 miles","-","5 Door","2020 Land Rover Range Rover Evoque SUV"
"Kia","Picanto 1.0 X-Line S 5dr Auto","2024","£17,249",1,"Automatic","235 miles","Petrol","5 Door","2024 Kia Picanto Hatchback"
"Toyota","RAV4 2.5 VVT-i Hybrid Design 5dr CVT 2WD","2022","£20,011",2.5,"Automatic","72,500 miles","-","5 Door","2022 Toyota RAV4 SUV"
"Renault","Clio 1.6 E-TECH full hybrid 145 Engineered 5dr Auto","2022","£15,499",1.6,"Automatic","16,071 miles","-","5 Door","2022 Renault Clio Hatchback"
"Dacia","Sandero Stepway 1.0 TCe Extreme 5dr","2024","£15,495",1,"Manual","15,500 miles","-","5 Door","2024 Dacia Sandero Stepway SUV"
"BMW","X1 xDrive 20i [178] M Sport 5dr Step Auto","2021","£23,800",2,"Automatic","38,000 miles","Petrol","5 Door","2021 BMW X1 SUV"
"Toyota","Yaris 1.5 Hybrid Icon 5dr CVT","2021","£15,381",1.5,"Automatic","10,450 miles","-","5 Door","2021 Toyota Yaris Hatchback"
"Audi","A3 30 TFSI Sport 5dr","2022","£19,532",1,"Manual","18,583 miles","Petrol","5 Door","2022 Audi A3 Hatchback"
"Land","Rover RANGE ROVER EVOQUE 2.0 eD4 SE SUV 5dr Diesel Manual FWD Euro 6 (s/s) (150 ps)","2018","£11,990",2,"Manual","65,823 miles","Diesel","5 Door","2018 Land Rover RANGE ROVER EVOQUE SUV"
"Nissan","Qashqai 1.3 DiG-T N-Connecta 5dr","2018","£13,975",1.3,"Manual","25,082 miles","Petrol","5 Door","2018 Nissan Qashqai SUV"
"Peugeot","2008 1.2 PureTech 130 Allure 5dr","2024","£19,884",1.2,"Manual","6,110 miles","Petrol","5 Door","2024 Peugeot 2008 SUV"
"Volkswagen","California 2.0 TDI Beach Camper 4dr DSG","2023","£53,950",2,"Automatic","14,136 miles","Diesel","-","2023 Volkswagen California Van"
"Mercedes","-Benz GLC 2.1 GLC220d AMG Line (Premium) SUV 5dr Diesel G-Tronic+ 4MATIC Euro 6 (s/s) (170 ps)","2019","£18,485",2.14,"Automatic","98,372 miles","Diesel","5 Door","2019 Mercedes-Benz GLC"
"Ford","Mondeo Estate 2.0 TDCi Zetec Edition 5dr Powershift","2018","£11,999",2,"Automatic","66,458 miles","Diesel","5 Door","2018 Ford Mondeo Estate Estate"
"Cupra","Born 150kW V1 58kWh 5dr Auto","2023","£21,950",NA,"Automatic","12,999 miles","-","5 Door","2023 Cupra Born Hatchback"
"Ford","RANGER 2.0 EcoBlue Wildtrak Pickup Double Cab 4dr Diesel Auto 4WD Euro 6 (s/s) (213 ps)","2020","£23,994",2,"Automatic","48,752 miles","Diesel","4 Door","2020 Ford RANGER"
"Mg","ZS 1.5 VTi-TECH Exclusive 5dr","2024","£15,340",1.5,"Manual","15,795 miles","Petrol","5 Door","2024 Mg ZS SUV"
"Mercedes","-Benz GLC GLC 250 4Matic Urban Edition 5dr 9G-Tronic","2019","£20,997",2,"Automatic","37,852 miles","Petrol","5 Door","2019 Mercedes-Benz GLC SUV"
"Volvo","XC90 2.0 B5D [235] R DESIGN 5dr AWD Geartronic","2021","£32,989",2,"Automatic","69,625 miles","Diesel","5 Door","2021 Volvo XC90 SUV"
"Volvo","XC40 2.0 D4 First Edition SUV 5dr Diesel Auto AWD Euro 6 (s/s) (190 ps)","2018","£19,695",1.97,"Automatic","75,579 miles","Diesel","5 Door","2018 Volvo XC40"
"Ford","TRANSIT CUSTOM 2.0 320 Limited EcoBlue Automatic 170 BHP L2 H1 Euro 6 ULEZ Free","2021","£25,188",2,"Automatic","22,517 miles","Diesel","5 Door","2021 Ford TRANSIT CUSTOM"
"Tesla","Model 3 Standard Plus 4dr Auto","2021","£18,850",NA,"Automatic","27,300 miles","-","4 Door","2021 Tesla Model 3 Saloon"
"Nissan","Qashqai 1.3 DiG-T MH 158 N-Connecta 5dr Xtronic","2025","£32,500",1.3,"Automatic","5,001 miles","-","5 Door","2025 Nissan Qashqai SUV"
"Ford","Puma 1.0 EcoBoost Hybrid mHEV ST-Line 5dr","2024","£21,495",1,"Manual","2,851 miles","-","5 Door","2024 Ford Puma SUV"
"Skoda","Karoq 1.6 TDI SE L 5dr DSG","2019","£14,495",1.6,"Automatic","52,099 miles","Diesel","5 Door","2019 Skoda Karoq SUV"
"Hyundai","IONIQ 1.6 GDi Hybrid Premium SE 5dr DCT","2021","£15,700",1.6,"Automatic","25,499 miles","-","5 Door","2021 Hyundai IONIQ Hatchback"
"Kia","Sorento 1.6 T-GDi HEV 4 5dr Auto","2023","£36,000",1.6,"Automatic","25,146 miles","-","5 Door","2023 Kia Sorento SUV"
"Mazda","6 2.0 SE Nav 4dr","2017","£12,354",2,"Manual","21,859 miles","Petrol","4 Door","2017 Mazda 6 Saloon"
"Vauxhall","Astra 1.4i 16V Excite 5dr","2015","£5,995",1.4,"Manual","43,408 miles","Petrol","5 Door","2015 Vauxhall Astra Hatchback"
"Volkswagen","Polo 1.0 TSI Match 5dr","2024","£19,449",1,"Manual","2,411 miles","Petrol","5 Door","2024 Volkswagen Polo Hatchback"
"Audi","A1 30 TFSI 110 Sport 5dr","2022","£19,795",1,"Manual","6,242 miles","Petrol","5 Door","2022 Audi A1 Hatchback"
"Ford","TRANSIT CUSTOM 2.0 320 Limited EcoBlue Automatic 170 BHP L1 H1 Euro 6 ULEZ Free","2021","£23,388",2,"Automatic","35,043 miles","Diesel","5 Door","2021 Ford TRANSIT CUSTOM"
"Audi","A5 40 TFSI 204 S Line 2dr S Tronic [Tech Pack Pro]","2022","£27,282",2,"Automatic","6,625 miles","Petrol","-","2022 Audi A5 Coupe"
"Ford","TRANSIT 2.0 350 FWD Leader EcoBlue Automatic 170 BHP L3 H2 Euro 6 ULEZ Free","2022","£23,388",2,"Automatic","22,726 miles","Diesel","5 Door","2022 Ford TRANSIT"
"Vauxhall","Insignia 1.5T SRi Vx-line Nav 5dr","2019","£12,995",1.5,"Manual","28,441 miles","Petrol","5 Door","2019 Vauxhall Insignia Hatchback"
"Nissan","Qashqai 1.5 E-Power N-Connecta 5dr Auto","2023","£22,649",1.5,"Automatic","15,288 miles","-","5 Door","2023 Nissan Qashqai SUV"
"Mg","MG5 115kW Exclusive EV 53kWh 5dr Auto","2021","£11,563",NA,"Automatic","38,712 miles","-","5 Door","2021 Mg MG5 Estate"
"Mitsubishi","L200 Double Cab DI-D 178 Barbarian 4WD Auto","2019","£19,900",2.4,"Automatic","46,761 miles","Diesel","-","2019 Mitsubishi L200 Van"
"Lexus","NX 300h 2.5 Luxury 5dr CVT","2017","£16,500",2.5,"Automatic","78,888 miles","-","5 Door","2017 Lexus NX SUV"
"Citroen","C3 1.2 PureTech Touch 5dr","2018","£7,349",1.2,"Manual","24,233 miles","Petrol","5 Door","2018 Citroen C3 Hatchback"
"Mg","HS 1.5 T-GDI PHEV Trophy 5dr Auto","2023","£20,999",1.5,"Automatic","7,762 miles","-","5 Door","2023 Mg HS SUV"
"Vauxhall","Corsa 1.2 Turbo SE Premium 5dr Auto","2020","£13,151",1.2,"Automatic","20,317 miles","Petrol","5 Door","2020 Vauxhall Corsa Hatchback"
"Kia","SPORTAGE 1.6 CRDI 2 ISG 5d 135 BHP","2018","£13,990",1.6,"Automatic","73,055 miles","Diesel","5 Door","2018 Kia SPORTAGE Estate"
"Nissan","Qashqai 1.3 DiG-T MH 158 N-Design 5dr Xtronic","2024","£29,055",1.3,"Automatic","3,985 miles","-","5 Door","2024 Nissan Qashqai SUV"
"Vauxhall","Combo Cargo 2300 1.5 Turbo D 100ps H1 Prime Van","2024","£20,394",1.5,"Manual","3,500 miles","Diesel","-","2024 Vauxhall Combo Cargo Van"
"Skoda","Fabia 1.0 TSI 116 SE L 5dr DSG","2024","£17,800",1,"Automatic","10,716 miles","Petrol","5 Door","2024 Skoda Fabia Hatchback"
"Audi","Q2 1.6 TDI S Line 5dr","2018","£13,623",1.6,"Manual","52,866 miles","Diesel","5 Door","2018 Audi Q2 SUV"
"Peugeot","PARTNER 1.5 BlueHDi 1000 Professional Standard Panel Van 5dr Diesel Manual SWB Euro 6 (100 bhp)","2019","£11,988",1.5,"Manual","48,000 miles","Diesel","5 Door","2019 Peugeot PARTNER"
"Citroen","C5 X 1.2 PureTech 130 Shine 5dr EAT8","2023","£17,845",1.2,"Automatic","11,554 miles","Petrol","4 Door","2023 Citroen C5 X Hatchback"
"Audi","Q7 50 TDI Quattro Launch Edition 5dr Tiptronic","2024","£64,900",3,"Automatic","12,300 miles","Diesel","5 Door","2024 Audi Q7 SUV"
"Volkswagen","Transporter 2.0 TDI 150 Highline Kombi Van","2021","£30,750",2,"Manual","36,000 miles","Diesel","-","2021 Volkswagen Transporter Van"
"Hyundai","Tucson 1.6 TGDi Hybrid 230 SE Connect 5dr 2WD Auto","2023","£24,349",1.6,"Automatic","6,056 miles","-","5 Door","2023 Hyundai Tucson SUV"
"BMW","3 Series 330e SE Pro 4dr Step Auto","2020","£16,945",2,"Automatic","47,038 miles","-","4 Door","2020 BMW 3 Series Saloon"
