"Brand","Model","Year","Price","EngineSize","Gear","Mileage","FuelType","Doors","Description","Car Age","Price per Mile","Engine Efficiency(mile/ltr)"
"Audi","Q2 30 TDI Sport 5dr",2019,14990,1.6,"Manual",21342,"Diesel",5,"Audi Q2 30 TDI Sport 5dr 1.6  Manual Diesel 5 2019",6,0.7,13338.75
"Audi","A5 1.4 TFSI S Line 2dr S Tronic",2018,15495,1.4,"Semiauto",39283,"Petrol",2,"Audi A5 1.4 TFSI S Line 2dr S Tronic 1.4  Semiauto Petrol 2 2018",7,0.39,28059.29
"Audi","A3 1.5 TFSI Black Edition 5dr S Tronic",2018,17295,1.5,"Semiauto",43926,"Petrol",5,"Audi A3 1.5 TFSI Black Edition 5dr S Tronic 1.5  Semiauto Petrol 5 2018",7,0.39,29284
"Audi","Q2 30 TFSI Black Edition 5dr",2020,18990,1,"Manual",26345,"Petrol",5,"Audi Q2 30 TFSI Black Edition 5dr 1.0  Manual Petrol 5 2020",5,0.72,26345
"Audi","A5 Sportback 2.0 TFSI Quattro S Line 5dr S Tronic",2018,19990,2,"Semiauto",47979,"Petrol",5,"Audi A5 Sportback 2.0 TFSI Quattro S Line 5dr S Tronic 2.0  Semiauto Petrol 5 2018",7,0.42,23989.5
"Audi","A1 30 TFSI 110 Technik 5dr S Tronic",2023,20550,1,"Semiauto",10000,"Petrol",5,"Audi A1 30 TFSI 110 Technik 5dr S Tronic 1.0  Semiauto Petrol 5 2023",2,2.06,10000
"Audi","A1 25 TFSI Sport 5dr",2024,20745,1,"Manual",14201,"Petrol",5,"Audi A1 25 TFSI Sport 5dr 1.0  Manual Petrol 5 2024",1,1.46,14201
"Audi","A3 30 TFSI S Line 5dr",2023,20745,1,"Manual",22070,"Petrol",5,"Audi A3 30 TFSI S Line 5dr 1.0  Manual Petrol 5 2023",2,0.94,22070
"Audi","A3 30 TFSI S Line 5dr",2023,20990,1,"Manual",23951,"Petrol",5,"Audi A3 30 TFSI S Line 5dr 1.0  Manual Petrol 5 2023",2,0.88,23951
"Audi","Q2 30 TFSI Sport 5dr",2023,22295,1,"Manual",6048,"Petrol",5,"Audi Q2 30 TFSI Sport 5dr 1.0  Manual Petrol 5 2023",2,3.69,6048
"Audi","S3 S3 TFSI Quattro 5dr S Tronic",2018,22395,2,"Semiauto",35128,"Petrol",5,"Audi S3 S3 TFSI Quattro 5dr S Tronic 2.0  Semiauto Petrol 5 2018",7,0.64,17564
"Audi","Q2 30 TFSI Sport 5dr",2023,22395,1,"Manual",6315,"Petrol",5,"Audi Q2 30 TFSI Sport 5dr 1.0  Manual Petrol 5 2023",2,3.55,6315
"Audi","A1 30 TFSI 110 S Line 5dr S Tronic",2024,23495,1,"Semiauto",17071,"Petrol",5,"Audi A1 30 TFSI 110 S Line 5dr S Tronic 1.0  Semiauto Petrol 5 2024",1,1.38,17071
"Audi","A3 30 TFSI S Line 5dr S Tronic",2023,23946,1,"Semiauto",23097,"Petrol",5,"Audi A3 30 TFSI S Line 5dr S Tronic 1.0  Semiauto Petrol 5 2023",2,1.04,23097
"Audi","Q2 35 TFSI S Line 5dr S Tronic",2022,23990,1.5,"Semiauto",27292,"Petrol",5,"Audi Q2 35 TFSI S Line 5dr S Tronic 1.5  Semiauto Petrol 5 2022",3,0.88,18194.67
"Audi","A6 40 TDI Quattro Black Edition 4dr S Tronic",2021,24445,2,"Semiauto",54011,"Diesel",4,"Audi A6 40 TDI Quattro Black Edition 4dr S Tronic 2.0  Semiauto Diesel 4 2021",4,0.45,27005.5
"Audi","A1 25 TFSI S Line 5dr S Tronic",2024,24740,1,"Semiauto",4958,"Petrol",5,"Audi A1 25 TFSI S Line 5dr S Tronic 1.0  Semiauto Petrol 5 2024",1,4.99,4958
